_link,id,tag,date,ocid,Payment Mode,initiationType,fiscal_year,buyer_name,tender_id,tender_stage,tender_title,tender_allowTwoStageTender,tender_status,tender_submissionMethodDetails,tender_procurementMethod,tender_mainProcurementCategory,tender_contractType,tender_numberOfTenderers,tender_datePublished,tender_allowPreferentialBidder,tender_externalReference,tender_value_amount,tender_bidOpening_date,tender_tenderPeriod_durationInDays,tenderclassification_description
id-13.430,ocds-kjhdrl-2018_BoTC_7123_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7123_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7123_1,Financial Evaluation,Const of Interlocking Concrete Block Pavement on the road from Kumguri Thuribari to SSB camp with 1 No Box type culvert at Thuribari village under SOPD 2017-18.,No,NA,NA,Open Tender,Works,Item Rate,3,2018-08-05 10:30:00,No,DPRD/BTC/SOPD-39/2017-18,9925274,23-05-2018 14:00,180,Civil Works
id-13.431,ocds-kjhdrl-2018_BoTC_7264_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7264_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7264_1,AOC,Const of Brick canal,No,NA,NA,Open Tender,Works,Works,2,2018-05-16 10:00:00,No,SOPD (CD) - 20 OF 2017-18,2000000,22-05-2018 16:30,180,Civil Works
id-13.432,ocds-kjhdrl-2018_BoTC_7316_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7316_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7316_1,AOC,Construction of Dotma H.S. School (Strengthening of existing School in Kokrajhar District.),No,NA,NA,Open Tender,Works,Item Rate,3,2018-05-22 15:30:00,No,TN-102/1,6020861,12-06-2018 11:00,180,Civil Works
id-13.433,ocds-kjhdrl-2018_BoTC_7346_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7346_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7346_1,Financial Evaluation,Const of Bundh from Forest culvert to Panijani No2 village paddy field under SOPD CD 2017-18.,No,NA,NA,Open Tender,Works,Item Rate,2,2018-05-23 10:30:00,No,DPRD/BTC/SOPDKoj167/18PtII21/3,3366160,07-06-2018 14:00,180,Civil Works
id-13.434,ocds-kjhdrl-2018_BoTC_7383_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7383_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7383_1,AOC,Const of canal,No,NA,NA,Open Tender,Works,Works,2,2018-05-25 10:00:00,No,SOPD (AOP) - 07 of 2017-18,4500000,30-05-2018 16:30,180,Civil Works
id-13.435,ocds-kjhdrl-2018_BoTC_7415_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7415_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7415_1,Financial Evaluation,Construction of road  with earth filling and sand gravelling from Singimari LP School to Samajhora village Approx length 3.50 KM  under  SOPD CD 2017-18.,No,NA,NA,Open Tender,Works,Item Rate,2,2018-05-28 10:30:00,No,DPRD/BTC/SOPD/Koj-167/2018/1,1980388,11-06-2018 14:00,180,Civil Works
id-13.436,ocds-kjhdrl-2018_BoTC_7428_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7428_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7428_1,Financial Evaluation,Consrtuction of Interlocking Conc Block Pavement on the road from Auhata LP School to Khayarbari Namghar under SOPD 2017-18,No,NA,NA,Open Tender,Works,Item Rate,3,2018-05-29 10:30:00,No,DPRD/BTC/SOPD/Udal-40/17-18/18,8713315,07-06-2018 14:00,180,Civil Works
id-13.437,ocds-kjhdrl-2018_BoTC_7481_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7481_1,Offline,tender,2017-2018,Bodoland Territorial Council,2018_BoTC_7481_1,Financial Evaluation,Imp of Bormukali Rabha Subha to Barbari Pathar with HPC under SOPD CD 2017-18,No,NA,NA,Open Tender,Works,Item Rate,2,2018-02-06 13:30:00,No,DPRD/BTC/SOPD/Udl/CD/4/2018/10,2970435,14-06-2018 14:00,180,Civil Works
id-13.438,ocds-kjhdrl-2018_BoTC_7502_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7502_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7502_1,To be Opened,"Construction of interlocking concrete block road at Namal Brahma Road ward No.8, Kokrajhar",No,NA,NA,Open Tender,Works,Item Rate,2,2018-07-06 10:00:00,No,KMB/2018/4,3264767,21-06-2018 16:00,180,Civil Works
id-13.439,ocds-kjhdrl-2018_BoTC_7566_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7566_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7566_1,Technical Bid Opening,Construction of CC Block at Barangajuli Daily Market under SOPD 2017-18.,No,NA,NA,Open Tender,Works,Item Rate,0,2018-11-06 10:30:00,No,DPRD/BTC/SOPD/Udal-62/2018/09,4699636,19-06-2018 14:00,180,Civil Works
id-13.440,ocds-kjhdrl-2018_BoTC_7632_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7632_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7632_1,Financial Evaluation,Construction of Brick Drain including Hume Pipe Culvert at  bye lane of Rakhal Road,No,NA,NA,Open Tender,Works,Works,2,2018-06-18 10:30:00,No,UTC/BTC/E-Tender/07,2036536,26-06-2018 16:30,180,Civil Works
id-13.441,ocds-kjhdrl-2018_BoTC_7680_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7680_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7680_1,Financial Evaluation,Construction of Birinchiguri RCC drop,No,NA,NA,Open Tender,Works,Works,3,2018-06-23 10:30:00,No,BTC/SCDB/02/2018,2151270,04-07-2018 16:30,180,Civil Works
id-13.442,ocds-kjhdrl-2018_BoTC_7728_1-2022-09-29,compiled,2022-09-29,ocds-kjhdrl-2018_BoTC_7728_1,Offline,tender,2018-2019,Bodoland Territorial Council,2018_BoTC_7728_1,Technical Evaluation,CRD/2017-18/52,No,NA,NA,Open Tender,Works,Item Rate,2,2018-06-26 10:30:00,No,CRD/8 of 2017-18,3700000,06-07-2018 11:30,180,Civil Works
