_link,_link_main,code,type,title,type.1,dueDate,title.1,dueDate.1
id-0.117.tender.milestones.0,id-0.117,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.118.tender.milestones.0,id-0.118,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.119.tender.milestones.0,id-0.119,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.120.tender.milestones.0,id-0.120,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.121.tender.milestones.0,id-0.121,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.122.tender.milestones.0,id-0.122,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.123.tender.milestones.0,id-0.123,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.124.tender.milestones.0,id-0.124,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.125.tender.milestones.0,id-0.125,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.126.tender.milestones.0,id-0.126,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.127.tender.milestones.0,id-0.127,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.128.tender.milestones.0,id-0.128,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.129.tender.milestones.0,id-0.129,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.130.tender.milestones.0,id-0.130,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.131.tender.milestones.0,id-0.131,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.132.tender.milestones.0,id-0.132,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.133.tender.milestones.0,id-0.133,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.134.tender.milestones.0,id-0.134,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.135.tender.milestones.0,id-0.135,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.136.tender.milestones.0,id-0.136,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.137.tender.milestones.0,id-0.137,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.138.tender.milestones.0,id-0.138,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.139.tender.milestones.0,id-0.139,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.140.tender.milestones.0,id-0.140,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.141.tender.milestones.0,id-0.141,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.142.tender.milestones.0,id-0.142,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.143.tender.milestones.0,id-0.143,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.144.tender.milestones.0,id-0.144,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
id-0.145.tender.milestones.0,id-0.145,PreBid Meeting Date,assessment,Price Bid Opening Date,assessment,NA,Price Bid Opening Date,NA
