_link,_link_main,multiCurrencyAllowed
id-0.439.tender.participationFee.0,id-0.439,No
id-0.440.tender.participationFee.0,id-0.440,No
id-0.441.tender.participationFee.0,id-0.441,No
id-0.442.tender.participationFee.0,id-0.442,No
id-0.443.tender.participationFee.0,id-0.443,No
id-0.444.tender.participationFee.0,id-0.444,No
id-0.445.tender.participationFee.0,id-0.445,No
id-0.446.tender.participationFee.0,id-0.446,No
id-0.447.tender.participationFee.0,id-0.447,No
id-0.448.tender.participationFee.0,id-0.448,No
id-0.449.tender.participationFee.0,id-0.449,No
id-0.450.tender.participationFee.0,id-0.450,No
id-0.451.tender.participationFee.0,id-0.451,No
id-0.452.tender.participationFee.0,id-0.452,No
id-0.453.tender.participationFee.0,id-0.453,No
id-0.454.tender.participationFee.0,id-0.454,No
id-0.455.tender.participationFee.0,id-0.455,No
id-0.456.tender.participationFee.0,id-0.456,No
id-0.457.tender.participationFee.0,id-0.457,No
id-0.458.tender.participationFee.0,id-0.458,No
id-0.459.tender.participationFee.0,id-0.459,No
id-0.460.tender.participationFee.0,id-0.460,No
id-0.461.tender.participationFee.0,id-0.461,No
id-0.462.tender.participationFee.0,id-0.462,No
id-0.463.tender.participationFee.0,id-0.463,No
id-0.464.tender.participationFee.0,id-0.464,No
id-0.465.tender.participationFee.0,id-0.465,No
id-0.466.tender.participationFee.0,id-0.466,No
id-0.467.tender.participationFee.0,id-0.467,No
id-0.468.tender.participationFee.0,id-0.468,No
id-0.469.tender.participationFee.0,id-0.469,No
id-0.470.tender.participationFee.0,id-0.470,No
id-0.471.tender.participationFee.0,id-0.471,No
id-0.472.tender.participationFee.0,id-0.472,No
id-0.473.tender.participationFee.0,id-0.473,No
id-0.474.tender.participationFee.0,id-0.474,No
id-0.475.tender.participationFee.0,id-0.475,No
id-0.476.tender.participationFee.0,id-0.476,No
id-0.477.tender.participationFee.0,id-0.477,No
id-0.478.tender.participationFee.0,id-0.478,No
id-0.479.tender.participationFee.0,id-0.479,No
id-0.480.tender.participationFee.0,id-0.480,No
id-0.481.tender.participationFee.0,id-0.481,No
id-0.482.tender.participationFee.0,id-0.482,No
id-0.483.tender.participationFee.0,id-0.483,No
id-0.484.tender.participationFee.0,id-0.484,No
id-0.485.tender.participationFee.0,id-0.485,No
id-0.486.tender.participationFee.0,id-0.486,No
id-0.487.tender.participationFee.0,id-0.487,No
id-0.488.tender.participationFee.0,id-0.488,No
id-0.489.tender.participationFee.0,id-0.489,No
id-0.490.tender.participationFee.0,id-0.490,No
id-0.491.tender.participationFee.0,id-0.491,No
id-0.492.tender.participationFee.0,id-0.492,No
id-0.493.tender.participationFee.0,id-0.493,No
id-0.494.tender.participationFee.0,id-0.494,No
id-0.495.tender.participationFee.0,id-0.495,No
